This list contains all games supported by FB Alpha.

1708 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 8ballact	| D NW	| "8ballact"						| 		| 1984	| Miscellaneous	| 		| Seatongrove Ltd (Magic Eletronics USA |
| arkanoid	|  	| "arkanoid"						| 		| 1986	| Arkanoid	| 		| Taito Corporation Japan		|
| bagman	|   NW	| "bagman"						| 		| 1982	| Miscellaneous	| 		| Valadon Automation			|
| ckong		|   NW	| "ckong"						| 		| 1981	| Miscellaneous	| 		| Falcon				|
| dkongjr	|   NW	| "dkongjr"						| 		| 1982	| Miscellaneous	| 		| Nintendo of America			|
| drivfrcp	| D NW	| "drivfrcp"						| 		| 1984	| Pac-man	| 		| Shinkai Inc. (Magic Eletronics Inc. li|
| getstar	|   NW	| "getstar"						| 		| 1986	| Early Toaplan	| 		| Taito					|
| gprider	|   NW	| "gprider"						| 		| 1990	| X-Board	| 		| Sega					|
| hunchbak	|   NW	| "hunchbak"						| 		| 1983	| Miscellaneous	| 		| Century Electronics			|
| huncholy	|   NW	| "huncholy"						| 		| 1984	| Miscellaneous	| 		| Seatongrove Ltd			|
| ladybug	|   NW	| "ladybug"						| 		| 1981	| Miscellaneous	| 		| Universal				|
| maniacsq	| D NW	| "maniacsq"						| 		| 1996	| Miscellaneous	| 		| Gaelco				|
| mwalk		|   NW	| "mwalk"						| 		| 1990	| System 18	| 		| Sega					|
| phoenix	|   NW	| "phoenix"						| 		| 1980	| Miscellaneous	| 		| Amstar				|
| porky		| D NW	| "porky"						| 		| 1985	| Pac-man	| 		| Shinkai Inc. (Magic Eletronics Inc. li|
| tumblep	|   NW	| "tumblep"						| 		| 1991	| Miscellaneous	| 		| Data East Corporation			|
| 99lstwar	|  	| '99: The Last War					| sonofphx	| 1985	| Proma		| Kyugo		| 					|
| 99lstwra	|  	| '99: The Last War (alternate)				| sonofphx	| 1985	| Proma		| Kyugo		| 					|
| 99lstwrk	|  	| '99: The Last War (Kyugo)				| sonofphx	| 1985	| Kyugo		| Kyugo		| 					|
| gtmra		|  	| 1000 Miglia: Great 1000 Miles Rally (94/06/13)	| gtmr		| 1994	| Kaneko	| Kaneko 16-bit	| 					|
| gtmr		|  	| 1000 Miglia: Great 1000 Miles Rally (94/07/18)	| 		| 1994	| Kaneko	| Kaneko 16-bit	| 					|
| 1941j		|  	| 1941 - Counter Attack (Japan)				| 1941		| 1990	| Capcom	| CPS1		| 					|
| 1941		|  	| 1941 - Counter Attack (World)				| 		| 1990	| Capcom	| CPS1		| 					|
| 1942b		|  	| 1942 (First Version)					| 1942		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942a		|  	| 1942 (Revision A)					| 1942		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942		|  	| 1942 (Revision B)					| 		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942w		|  	| 1942 (Williams Electronics license)			| 1942		| 1985	| Capcom (Willia| Miscellaneous	| 					|
| 1944j		|  	| 1944 - the loop master (000620 Japan)			| 1944		| 2000	| Capcom / 8ing | CPS2		| 					|
| 1944d		|  	| 1944 - the loop master (000620 USA Phoenix Edition)	| 1944		| 2000	| bootleg	| CPS2		| 					|
| 1944		|  	| 1944 - the loop master (000620 USA)			| 		| 2000	| Capcom / 8ing | CPS2		| 					|
| 1945kiii	|  	| 1945k III						| 		| 2000	| Oriental	| misc		| 					|
| 19xxa		|  	| 19XX - the war against destiny (951207 Asia)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxjr1	|  	| 19XX - the war against destiny (951207 Japan)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxd		|  	| 19XX - the war against destiny (951207 USA Phoenix Edi| 19xx		| 1995	| bootleg	| CPS2		| 					|
| 19xx		|  	| 19XX - the war against destiny (951207 USA)		| 		| 1995	| Capcom	| CPS2		| 					|
| 19xxb		|  	| 19XX - the war against destiny (951218 Brazil)	| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxh		|  	| 19XX - the war against destiny (951218 Hispanic)	| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxj		|  	| 19XX - the war against destiny (951225 Japan)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 2020bb	|  	| 2020 Super Baseball (set 1)				| 		| 1991	| SNK / Pallas	| Neo Geo	| 					|
| 2020bba	|  	| 2020 Super Baseball (set 2)				| 2020bb	| 1991	| SNK / Pallas	| Neo Geo	| 					|
| 2020bbh	|  	| 2020 Super Baseball (set 3)				| 2020bb	| 1991	| SNK / Pallas	| Neo Geo	| 					|
| 3countb	|  	| 3 Count Bout / Fire Suplex				| 		| 1993	| SNK		| Neo Geo	| 					|
| 4enraya	|  	| 4 En Raya						| 		| 1990	| IDSA		| misc		| 					|
| 4play		|  	| 4 player input test					| 		| ???	| SNK		| Neo Geo	| 4 player  input test cartridge	|
| 4dwarrio	|  	| 4-D Warriors (315-5162)				| 		| 1985	| Coreland / Seg| System 1	| 					|
| 7ordi		|  	| 7 Ordi (Korea)					| 		| 2002	| Yun Sung	| Miscellaneous	| 					|
| abcop		|  	| A.B. Cop (FD1094 317-0169b)				| 		| 1990	| Sega		| X-Board	| 					|
| abscam	|  	| Abscam						| puckman	| 1981	| GL (US Billiar| Pac-man	| 					|
| aceattac	|   NW	| Ace Attacker (FD1094 317-0059)			| 		| 1988	| Sega		| System 16B	| 					|
| aceattaa	|  	| Ace Attacker (Japan, System 16A, FD1094 317-0060)	| aceattac	| 1986	| Sega		| System 16A	| 					|
| afighter	|  	| Action Fighter, FD1089A 317-0018			| 		| 1986	| Sega		| System 16A	| 					|
| aerofgt	|  	| Aero Fighters						| 		| 1992	| Video System C| Video System	| 					|
| aerofgtb	|  	| Aero Fighters (Turbo Force hardware set 1)		| aerofgt	| 1992	| Video System C| Video System	| 					|
| aerofgtc	|  	| Aero Fighters (Turbo Force hardware set 2)		| aerofgt	| 1992	| Video System C| Video System	| 					|
| sonicwi2	|  	| Aero Fighters 2 / Sonic Wings 2			| 		| 1994	| Video System C| Neo Geo	| 					|
| sonicwi3	|  	| Aero Fighters 3 / Sonic Wings 3			| 		| 1995	| Video System C| Neo Geo	| 					|
| aburner	|  	| After Burner (Japan)					| aburner2	| 1987	| Sega		| X-Board	| 					|
| aburner2	|  	| After Burner II					| 		| 1987	| Sega		| X-Board	| 					|
| aodk		|  	| Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyok| 		| 1994	| ADK / SNK	| Neo Geo	| 					|
| agress	|  	| Agress						| 		| 1991	| Palco		| Miscellaneous	| 					|
| agressb	|  	| Agress (English bootleg)				| agress	| 2003	| Palco		| Miscellaneous	| 					|
| koshien	|  	| Ah Eikou no Koshien (Japan)				| 		| 1990	| Taito Corporat| Taito-F2	| 					|
| agallet	|  	| Air Gallet						| 		| 1996	| BanPresto / Ga| Cave		| 					|
| airwolf	|  	| Airwolf						| 		| 1987	| Kyugo		| Kyugo		| 					|
| airwolfa	|  	| Airwolf (US)						| airwolf	| 1987	| Kyugo (UA Thea| Kyugo		| 					|
| alexkid1	|  	| Alex Kidd: The Lost Stars (set 1, FD1089A 317-unknown)| alexkidd	| 1986	| Sega		| System 16A	| 					|
| alexkidd	|  	| Alex Kidd: The Lost Stars (set 2, unprotected)	| 		| 1986	| Sega		| System 16A	| 					|
| alibaba	|  	| Ali Baba and 40 Thieves				| 		| 1982	| Sega		| Pac-man	| 					|
| astormj	|  	| Alien Storm (set 1, Japan, 2 Players, FD1094 317-0146)| astorm	| 1990	| Sega		| System 18	| Incomplete Sound			|
| astormu	|  	| Alien Storm (set 2, US, 3 Players, FD1094 317-0147)	| astorm	| 1990	| Sega		| System 18	| Incomplete Sound			|
| astorm3	|  	| Alien Storm (set 3, World, 3 Players, FD1094 317-0148)| astorm	| 1990	| Sega		| System 18	| Incomplete Sound			|
| astorm	|  	| Alien Storm (set 4, World, 2 Players, FD1094 317-0154)| 		| 1990	| Sega		| System 18	| Incomplete Sound			|
| aliensy1	|  	| Alien Syndrome (set 1, System 16A, FD1089A 317-0033)	| aliensyn	| 1987	| Sega		| System 16A	| 					|
| aliensy2	|  	| Alien Syndrome (set 2, System 16A, FD1089A 317-0033)	| aliensyn	| 1987	| Sega		| System 16A	| 					|
| aliensy3	|  	| Alien Syndrome (set 3, System 16B, FD1089A 317-0033)	| aliensyn	| 1987	| Sega		| System 16B	| 					|
| aliensyn	|  	| Alien Syndrome (set 4, System 16B, unprotected)	| 		| 1987	| Sega		| System 16B	| 					|
| aliensy5	|  	| Alien Syndrome (set 5, System 16A, FD1089B 317-0037)	| aliensyn	| 1987	| Sega		| System 16A	| 					|
| avspa		|  	| Alien vs Predator (940520 Asia)			| avsp		| 1994	| Capcom	| CPS2		| 					|
| avspd		|  	| Alien vs Predator (940520 Euro Phoenix Edition)	| avsp		| 1994	| bootleg	| CPS2		| 					|
| avsp		|  	| Alien vs Predator (940520 Euro)			| 		| 1994	| Capcom	| CPS2		| 					|
| avsph		|  	| Alien vs Predator (940520 Hispanic)			| avsp		| 1994	| Capcom	| CPS2		| 					|
| avspj		|  	| Alien vs Predator (940520 Japan)			| avsp		| 1994	| Capcom	| CPS2		| 					|
| avspu		|  	| Alien vs Predator (940520 USA)			| avsp		| 1994	| Capcom	| CPS2		| 					|
| alpham2	|  	| Alpha Mission II / ASO II - Last Guardian		| 		| 1991	| SNK		| Neo Geo	| 					|
| altbeas2	|  	| Altered Beast (set 2, MC-8123B 317-0066)		| altbeast	| 1988	| Sega		| System 16B	| 					|
| altbeas4	|  	| Altered Beast (set 4, MC-8123B 317-0066)		| altbeast	| 1988	| Sega		| System 16B	| 					|
| altbeas5	|  	| Altered Beast (set 5, 8751 317-0076)			| altbeast	| 1988	| Sega		| System 16B	| 					|
| altbeast	|  	| Altered Beast (set 7, 8751 317-0078)			| 		| 1988	| Sega		| System 16B	| 					|
| ambush	|  	| Ambush						| 		| 1983	| Nippon Amuse C| Ambush	| 					|
| ambusht	|  	| Ambush (Tecfri)					| ambush	| 1983	| Tecfri	| Ambush	| 					|
| ambushv	|  	| Ambush (Volt Elec co-ltd)				| ambush	| 1983	| Volt Elec co-l| Ambush	| 					|
| androdun	|  	| Andro Dunos						| 		| 1992	| Visco		| Neo Geo	| 					|
| aquajckj	|  	| Aquajack (Japan)					| aquajack	| 1990	| Taito Corporat| Taito-Z	| 					|
| aquajack	|  	| Aquajack (World)					| 		| 1990	| Taito Corporat| Taito-Z	| 					|
| aquarium	|  	| Aquarium (Japan)					| 		| 1996	| Excellent Syst| Miscellaneous	| 					|
| area88	|  	| Area 88 (Japan)					| unsquad	| 1989	| Daipro / Capco| CPS1		| 					|
| lwingsjp	|  	| Ares no Tsubasa (Japan)				| lwings	| 1986	| Capcom	| hardware	| 					|
| rygarj	|  	| Argus no Senshi (Japan)				| rygar		| 1986	| Tecmo		| Miscellaneous	| 					|
| arkgcbl	|  	| Arkanoid (bootleg on Block hardware)			| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| arkmcubl	| D NW	| Arkanoid (bootleg with MCU)				| arkanoid	| 1986	| bootleg	| Arkanoid	| Unsupported MCU			|
| ark1ball	| D NW	| Arkanoid (bootleg with MCU, harder)			| arkanoid	| 1986	| bootleg	| Arkanoid	| Unsupported MCU			|
| arkangc	|  	| Arkanoid (Game Corporation bootleg, set 1)		| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| arkangc2	|  	| Arkanoid (Game Corporation bootleg, set 2)		| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| arknoidj	| D NW	| Arkanoid (Japan)					| arkanoid	| 1986	| Taito Corporat| Arkanoid	| Unsupported MCU			|
| arkatayt	|  	| Arkanoid (Tayto bootleg)				| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| arktayt2	|  	| Arkanoid (Tayto bootleg, harder)			| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| arknoidu	| D NW	| Arkanoid (US)						| arkanoid	| 1986	| Taito America | Arkanoid	| Unsupported MCU			|
| arknoiuo	| D NW	| Arkanoid (US, older)					| arkanoid	| 1986	| Taito America | Arkanoid	| Unsupported MCU			|
| armedf	|  	| Armed Formation					| 		| 1988	| Nichibutsu	| Miscellaneous	| 					|
| batridc	|  	| Armed Police Batrider (China) (Fri Feb 13 1998)	| batrid	| 1998	| Raizing / 8ing| Toaplan GP9001| 					|
| batrid	|  	| Armed Police Batrider (Europe) (Fri Feb 13 1998)	| 		| 1998	| Raizing / 8ing| Toaplan GP9001| 					|
| batridja	|  	| Armed Police Batrider (Japan) (Mon Dec 22 1997)	| batrid	| 1998	| Raizing / 8ing| Toaplan GP9001| 					|
| batridk	|  	| Armed Police Batrider (Korea) (Fri Feb 13 1998)	| batrid	| 1998	| Raizing / 8ing| Toaplan GP9001| 					|
| batridu	|  	| Armed Police Batrider (U.S.A.) (Fri Feb 13 1998)	| batrid	| 1998	| Raizing / 8ing| Toaplan GP9001| 					|
